"id","nom","nbAvis","latitude","longitude","shape_gid","gtrip"
"1853199","How to become Parisian in one hour?","2223","48.87141","2.344867","83329","187147"
"232159","Musée Nissim de Camondo","1445","48.87878","2.31293","76102","187147"
"188757","Musée du Louvre","65846","48.861046","2.335324","82481","187147"
"190202","Sainte-Chapelle","15958","48.85537","2.345135","82481","187147"
"191240","Quartier Saint-Germain-des-Prés","5284","48.853703","2.334116","83333","187147"
"265635","Musée de l’Orangerie","11852","48.863846","2.322273","82481","187147"
"188484","Musée de Cluny - Musée National du Moyen Âge","2173","48.850273","2.344133","82476","187147"
"209761","Île Saint-Louis","3818","48.85554","2.347689","83325","187147"
"189245","Musée de l’Armée","4697","48.86158","2.314682","83327","187147"
"265614","Pont Alexandre-III","12155","48.863132","2.313507","83327","187147"
"190204","Opéra Garnier","12654","48.871468","2.331368","83329","187147"
"549934","Mémorial de la Shoah","774","48.8548","2.35641","83325","187147"
"189687","Jardin du Luxembourg","24983","48.84945","2.337295","83333","187147"
"188150","Musée d  Orsay","44724","48.85992","2.325475","83327","187147"
"2221379","Flight Experience","285","48.83901","2.37187","82480","187147"
"189284","Montmartre","10881","48.887173","2.343422","83250","187147"
"188698","Cimetière du Père-Lachaise","4712","48.86018","2.393639","82478","187147"
"189683","River Seine","18867","48.855286","2.350302","83325","187147"
"190685","Basilique du Sacré-Cœur de Montmartre","21986","48.887245","2.343376","83250","187147"
"188151","Tour Eiffel","90757","48.858276","2.294591","83327","187147"
"292257","Le Marais","9171","48.8576","2.361453","83325","187147"
"188758","Musée Carnavalet","1253","48.85724","2.362614","83325","187147"
"188485","Musée Marmottan","2627","48.85905","2.2675","83330","187147"
"188488","Musée National des Arts Asiatiques - Guimet","675","48.86489","2.29372","83330","187147"
"188147","Hôtel des Invalides","489","48.859615","2.312881","83327","187147"
"188679","Cathédrale Notre-Dame de Paris","47647","48.85314","2.348883","83325","187147"
"191146","Saint-Étienne-du-Mont","520","48.84662","2.347439","82476","187147"
"194190","Parc Monceau","680","48.8801","2.307558","82475","187147"
"188149","Musée Rodin","9022","48.85465","2.31535","83327","187147"
"208054","Rue Montorgueil","489","48.864944","2.346861","83326","187147"
"189249","Parc des Buttes-Chaumont","1267","48.88","2.382297","82479","187147"
"188467","Place des Vosges","4009","48.856194","2.365694","83325","187147"
"601755","Île de la Cité","4313","48.854664","2.34601","83325","187147"
"500272","Musée du quai Branly - Jacques Chirac","1940","48.86153","2.2976","83327","187147"
"189280","Panthéon","2664","48.846306","2.34577","82476","187147"
"188709","Arc de Triomphe","27787","48.87369","2.295276","76102","187147"
"2621327","Experience Paris - Private Horse and Carriage Rides","39","48.85324","2.30774","83327","187147"
"190904","Le Cordon Bleu  - L  Art Culinaire","112","48.83812","2.30046","83331","187147"
"194171","Jardin des Tuileries","4683","48.862362","2.330391","82481","187147"
"246750","Trocadéro","3630","48.860733","2.28992","83330","187147"
"189685","Quartier Latin","2775","48.84498","2.349255","82476","187147"
"190975","Mémorial des Martyrs de la Déportation","209","48.852123","2.351997","83325","187147"
"188761","Musee Jacquemart-André","2807","48.8751","2.31079","76102","187147"
"232167","Petit Palais, Musée des Beaux-Arts de la Ville de Paris","1417","48.866043","2.314346","76102","187147"
"191149","Saint-Eustache","420","48.86371","2.34465","82481","187147"
"232162","Musée de la Chasse et de la Nature","207","48.86137","2.35837","83332","187147"
"265615","Musée des arts et métiers","748","48.86583","2.355366","83332","187147"
"2397509","Tours de la Cathedrale Notre-Dame","6830","48.853508","2.350053","83325","187147"
"208055","Hôtel de Ville","1027","48.85714","2.3529","83325","187147"
"590230","Grand Palais","1199","48.866127","2.313731","76102","187147"
"209789","Jardins du Palais Royal","454","48.86616","2.33747","82481","187147"
"189251","Palais Royal","357","48.863148","2.33603","82481","187147"
"314450","Observatoire Panoramique de la Tour Montparnasse","3461","48.842045","2.322165","83331","187147"
"314455","Place Dauphine","160","48.856415","2.342277","82481","187147"
"2507208","Musee des Arts Forains","660","48.83261","2.38935","83324","187147"
"189250","Jardin d  Acclimatation","664","48.878136","2.263139","83330","187147"
"1891773","Espace Dali","698","48.88653","2.340024","83250","187147"
"318592","Musée d  Art et d  Histoire du Judaïsme","211","48.861053","2.355359","83332","187147"
"189291","Jardin des Plantes","1077","48.845455","2.357512","82476","187147"
"314440","Centre Pompidou","4185","48.860695","2.352091","83325","187147"
"245133","Salle Pleyel","53","48.87694","2.300955","76102","187147"
"1841405","Ciao Paris","22","48.86026","2.353155","83325","187147"
"245121","Parc floral de Paris","256","48.83752","2.444402","83324","187147"
"1759606","Chapelle Notre Dame de la Medaille Miraculeuse","1294","48.85097","2.32382","83327","187147"
"210318","Musée de Montmartre","442","48.888336","2.340196","83250","187147"
"191239","Saint-Julien-le-Pauvre","53","48.852207","2.346911","82476","187147"
"304848","Tombeau de Napoléon","175","48.861046","2.313223","83327","187147"
"194242","Boulevard Saint-Germain","341","48.853004","2.337034","83333","187147"
"602583","Longchamp Racecourse","100","48.858257","2.233142","83330","187147"
"232122","Musée Cernuschi","105","48.8798","2.31233","76102","187147"
